eff_dt,merchant_nm,cust_no
8/30/2017,CINEMAX,259088.6
8/31/2017,CINEMAX,607843.8
8/12/2017,CINEMAX,91756
8/11/2017,CINEMAX,1176850.2
8/1/2017,CINEMAX,259088.6
8/2/2017,CINEMAX,1586481.2
8/1/2017,CINEMAX,58508.2
8/1/2017,CINEMAX,58508.2
8/1/2017,CINEMAX,1845828.2
8/1/2017,CINEMAX,684616.2
8/4/2017,CINEMAX,559224.4
8/6/2017,CINEMAX,1879562.6
8/3/2017,CINEMAX,2446036.8
8/5/2017,CINEMAX,2330524
8/4/2017,CINEMAX,1737740.2
8/5/2017,CINEMAX,1027823.4
8/11/2017,CINEMAX,249641
8/11/2017,CINEMAX,249641
8/3/2017,CINEMAX,635759.4
8/6/2017,CINEMAX,1189636.8
8/6/2017,CINEMAX,841830.8
8/5/2017,CINEMAX,944618
8/13/2017,CINEMAX,2402431.8
8/4/2017,CINEMAX,1692019.2
8/4/2017,CINEMAX,1692019.2
8/5/2017,CINEMAX,681219.8
8/5/2017,CINEMAX,231383.8
8/4/2017,CINEMAX,678474
8/4/2017,CINEMAX,678474
8/9/2017,CINEMAX,1964351.4
8/5/2017,CINEMAX,1309040.6
8/13/2017,CINEMAX,890987.4
8/20/2017,CINEMAX,115048.8
8/19/2017,CINEMAX,635526.6
8/20/2017,CINEMAX,544001.8
8/9/2017,CINEMAX,1710966.2
8/29/2017,CINEMAX,71688
8/12/2017,CINEMAX,2275610.6
8/22/2017,CINEMAX,2047491.2
8/17/2017,CINEMAX,3617474
8/6/2017,CINEMAX,2117146
8/22/2017,CINEMAX,3232039.2
8/4/2017,CINEMAX,844309.4
8/4/2017,CINEMAX,2052863.4
8/23/2017,CINEMAX,856587.6
8/23/2017,CINEMAX,2048701
8/4/2017,CINEMAX,3705279.4
8/27/2017,CINEMAX,86736.4
8/19/2017,CINEMAX,2125965.6
8/17/2017,CINEMAX,3841877
8/16/2017,CINEMAX,1929646.6
8/2/2017,CINEMAX,2202674.6
8/5/2017,CINEMAX,1932110.2
8/3/2017,CINEMAX,2016782.2
8/4/2017,CINEMAX,2171774.8
8/9/2017,CINEMAX,111190.6
8/24/2017,CINEMAX,2643742.8
8/13/2017,CINEMAX,1348378.2
8/12/2017,CINEMAX,2012827.8
8/17/2017,CINEMAX,2528169.6
8/6/2017,CINEMAX,2362090.2
8/5/2017,CINEMAX,849869.4
8/5/2017,CINEMAX,2341421.6
8/21/2017,CINEMAX,2768673
8/25/2017,CINEMAX,1125076.4
8/5/2017,CINEMAX,2624253.6
8/16/2017,CINEMAX,591531.6
8/4/2017,CINEMAX,1197630.4
8/20/2017,CINEMAX,995398
8/20/2017,CINEMAX,995398
8/17/2017,CINEMAX,1600825
8/13/2017,CINEMAX,2756139.6
8/13/2017,CINEMAX,982397.6
8/12/2017,CINEMAX,2117146
8/9/2017,CINEMAX,2951172.8
8/24/2017,CINEMAX,2643742.8
8/24/2017,CINEMAX,2756139.6
8/12/2017,CINEMAX,154559
8/27/2017,CINEMAX,3064149
8/26/2017,CINEMAX,1186726
8/17/2017,CINEMAX,794479.4
8/9/2017,CINEMAX,2951172.8
8/7/2017,CINEMAX,2156281.2
8/1/2017,CINEMAX,895644
8/21/2017,CINEMAX,473976.8
8/21/2017,CINEMAX,876498.4
8/24/2017,CINEMAX,914391
8/1/2017,CINEMAX,231144
8/24/2017,CINEMAX,910631.6
8/21/2017,CINEMAX,529606.8
8/25/2017,CINEMAX,3675026.8
8/23/2017,CINEMAX,107412.6
8/6/2017,CINEMAX,2162203.4
8/27/2017,CINEMAX,1754643.6
8/25/2017,CINEMAX,891734.4
8/11/2017,CINEMAX,1365905.6
8/2/2017,CINEMAX,1559996.4
8/30/2017,CINEMAX,2536619.2
8/16/2017,CINEMAX,1929180.2
8/17/2017,CINEMAX,2793347.6
8/20/2017,CINEMAX,2259729
8/13/2017,CINEMAX,2221390
8/5/2017,CINEMAX,1958553.6
8/11/2017,CINEMAX,591531.6
8/31/2017,CINEMAX,2536619.2
8/23/2017,CINEMAX,2047491.2
8/11/2017,CINEMAX,625235.2
8/11/2017,CINEMAX,1127639.8
8/11/2017,CINEMAX,2379943.2
8/6/2017,CINEMAX,80093.4
8/16/2017,CINEMAX,1991120
8/20/2017,CINEMAX,1287164
8/24/2017,CINEMAX,1675055
8/17/2017,CINEMAX,1521281.2
8/19/2017,CINEMAX,2031906.6
8/19/2017,CINEMAX,2031906.6
8/17/2017,CINEMAX,2256638.6
8/26/2017,CINEMAX,3920181.4
8/17/2017,CINEMAX,1493457
8/1/2017,CINEMAX,1315028.6
8/13/2017,CINEMAX,3859734.4
8/20/2017,CINEMAX,1274166
8/23/2017,CINEMAX,1348378.2
8/29/2017,CINEMAX,93593.2
8/20/2017,CINEMAX,1176633.2
8/4/2017,CINEMAX,287073.4
8/6/2017,CINEMAX,1463826.2
8/16/2017,CINEMAX,1488730.6
8/6/2017,CINEMAX,1572527.4
8/16/2017,CINEMAX,75150
8/5/2017,CINEMAX,2984770.2
8/23/2017,CINEMAX,858573.4
8/20/2017,CINEMAX,1065037.8
8/20/2017,CINEMAX,1065037.8
8/16/2017,CINEMAX,2793347.6
8/19/2017,CINEMAX,1734771.2
8/26/2017,CINEMAX,1787069
8/16/2017,CINEMAX,1641503.4
8/28/2017,CINEMAX,3830200.2
8/19/2017,CINEMAX,1499530.2
8/28/2017,CINEMAX,3830200.2
8/21/2017,CINEMAX,529606.8
8/16/2017,CINEMAX,129996.6
8/20/2017,CINEMAX,1029256.8
8/8/2017,CINEMAX,2982778
8/19/2017,CINEMAX,2847548.4
8/6/2017,CINEMAX,2176971.8
8/6/2017,CINEMAX,1491188
8/4/2017,CINEMAX,1163794.8
8/31/2017,CINEMAX,2793347.6
8/20/2017,CINEMAX,1665126
8/17/2017,CINEMAX,2629988.4
8/30/2017,CINEMAX,274939
8/30/2017,CINEMAX,274939
8/6/2017,CINEMAX,2162203.4
8/24/2017,CINEMAX,725074.8
8/19/2017,CINEMAX,137114.6
8/27/2017,CINEMAX,2644778.8
